"name","terminal","airside","gate","address","phone","website","cuisine","categories","description","opening_hours","wheelchair","takeaway","halal","vegetarian_options","vegan_options","verified_status","osm_id"
"The Bindery","A Gates","Airside","A24","A Gates, Near Gate A24","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"The Coffee Bean & Tea Leaf","C Gates","Airside","C29","C Gates, Near Gate C29","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"The Magic Pan","C Gates","Airside","C28","C Gates, Near Gate C28","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Timber's","B Gates","Airside","B60","B Gates, Near Gate B60","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Tocabe","A Gates","Airside","A38","A Gates, Near Gate A38","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"True Food Kitchen","C Gates","Airside","C24","C Gates, Near Gate C24","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Uncle","A Gates","Airside","A24","A Gates, Near Gate A24","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Villa Pizza","C Gates","Airside","","C Gates, Center Core","","","","","","Daily, 4 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Voodoo Doughnut","B Gates","Airside","","B Gates, Mezzanine Level, northeast side","","","","","","Daily, 5:30 a.m. – 9:30 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Williams & Graham","A Gates","Airside","A38","A Gates, Near Gate A38","","","","","","Daily, 7 a.m. – 11 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Woody Creek Bakery & Cafe","C Gates","Airside","C46","C Gates, Near Gate C46","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
