"name","terminal","concourse","airside","gate","address","phone","website","cuisine","categories","description","opening_hours","wheelchair","takeaway","halal","vegetarian_options","vegan_options","verified_status","osm_id"
"Publican Quality Bread","Terminal 5","Concourse M","Airside","M5","Terminal 5 near Gate M5","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Publican Tavern","Terminal 3","Concourse K","Airside","K1","Terminal 3 near Gate K1","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"R.J. Grunts Burgers & Fries","Terminal 5","Concourse M","Airside","M16","Terminal 5 near Gate M16","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Reggio's Chicago Style Pizza","Terminal 1","Concourse C","Airside","C19","Terminal 1 near Gate C19","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Reggio's Chicago Style Pizza","Terminal 3","Concourse K","Airside","K4","Terminal 3 near Gate K4","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Reggio's Chicago Style Pizza","Terminal 3","Concourse G","Airside","G8","Terminal 3 near Gate G8","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Reggio's Chicago Style Pizza","Terminal 1","Concourse C","Airside","C22","Terminal 1 near Gate C22","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Rocky Mountain Chocolate Factory","Terminal 3","Concourse H","Airside","H5","Terminal 3 near Gate H5","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Rush Street Bar","Terminal 3","Concourse H","Airside","H14","Terminal 3 near Gate H14","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Salad Works","Terminal 1","Concourse C","Airside","C19","Terminal 1 near Gate C19","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Skybridge Bar & Grill","Terminal 2","Concourse F","Airside","F15","Terminal 2 near Gate F15","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Skyscrapers Bar","Terminal 3","Concourse K","Airside","K9","Terminal 3 near Gate K9","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
