name,cuisine,airport_count,airports,example_airport
Pot Kettle Black,,1,MAN,MAN
Potbelly,,1,LGA,LGA
Potzollcalli,,1,MEX,MEX
Poulet Bijou,,1,SIN,SIN
Pour Authority,,1,LGA,LGA
Prime Steakhouse,,1,LGA,LGA
Pronto Sandwiches,,1,ORD,ORD
PRONTO TERMINAL 1,,1,KIX,KIX
Protein Bar & Kitchen,,1,LGA,LGA
Protein Bar & Kitchen Kiosk,,1,ORD,ORD
Protein Bar and Kitchen,,1,ORD,ORD
PS.Cafe,,1,SIN,SIN
Publican Quality Bread,,1,ORD,ORD
Publican Tavern,,1,ORD,ORD
Puku Puku,,1,LIM,LIM
Pulp + Grind,,1,SYD,SYD
Punjabi Kulfi,,1,DEL,DEL
Pura Brasa,,1,MAD,MAD
Pure,,1,LGW,LGW
Purebread,,1,YVR,YVR
Purefoods Street Sarap,,1,MNL,MNL
PUTIEN,chinese,1,SIN,SIN
Q Bar,,1,IAH,IAH
Qaser Casablanca Cafe,,1,DXB,DXB
Qing-Feng Steamed Dumpling Shop,chinese,1,PKX,PKX
Quanjude Roast Duck Restaurant,chinese,1,PKX,PKX
Que Bueno! Mexican Grill,,1,DEN,DEN
Que Bueno! Mexican Grille,,1,DEN,DEN
QUEEN COFFEE & MEALS,,1,KUL,KUL
Queens Corner,,1,LGA,LGA
Queic by Olivia,,1,SIN,SIN
Quick Bite Restaurant,,1,DXB,DXB
Quikshots,,1,MEL,MEL
Quiznos,,1,DEN,DEN
Qwench Juice Bar,juice,1,LAX,LAX
R.J. Grunts Burgers & Fries,,1,ORD,ORD
Rachel's Kitchen,,1,LAS,LAS
Racks / Tenya,,1,MNL,MNL
Raju Omlet,,1,BOM,BOM
Ralph's Coffee,"Coffee, Café, Luxury",1,DOH,DOH
RAMEN ICHIKAKUYA,,1,NRT,NRT
RAMEN IROHA,,1,TPE,TPE
Ramen Keisuke Singapore,ramen,1,SIN,SIN
Ramen Makotoya,,1,TPE,TPE
Ramen Miraku,,1,NRT,NRT
Ravenous Pig Brewing Co. General Store - Gates C230-C245,,1,MCO,MCO
raw JUCE,,1,MCO,MCO
Rawabina,,1,DXB,DXB
Red Grill,"Steakhouse, Grill, International",1,DOH,DOH
REES Specialty Coffee,coffee_shop,1,BKK,BKK
Refresh,,1,IST,IST
Refreshments by NIWA no HOTORI,,1,NRT,NRT
Rel'Lish Burger Lounge,,1,SEA,SEA
Relax Inn,,1,CMB,CMB
Remman Cafe,"Middle Eastern, Café",1,DOH,DOH
Replenish with Illy's Coffee - Gates C230-C245,,1,MCO,MCO
Restaurant,,1,DXB,DXB
Revive,,1,JFK,JFK
Revive - Gate 80,,1,MCO,MCO
Revive - Gate 90,,1,MCO,MCO
Revolucion,mexican,1,JFK,JFK
Rey Food & Drink,,1,IST,IST
Rey Organic,,1,IST,IST
Rice Up!,,1,ZRH,ZRH
Roasted Notes,,1,DUB,DUB
ROBOTGIMBAP,korean,1,ICN,ICN
Rock Squeeze,,1,YYZ,YYZ
RODILLA,,1,MAD,MAD
Roger's Fish Co.,,1,BOS,BOS
ROJI-URA CURRY SAMURAI.,,1,NRT,NRT
Roll'd,vietnamese,1,SYD,SYD
Roll'd Vietnamese,,1,MEL,MEL
Rolling Stone,,1,LAX,LAX
Romano's Macaroni Grill,,1,MCO,MCO
Romano's On the Fly,,1,MCO,MCO
Romers Fresh Kitchen and Bar,,1,YVR,YVR
Roost,,1,SIN,SIN
Root Down,,1,DEN,DEN
Root Down DIA,,1,DEN,DEN
Root98,,1,YVR,YVR
Roots,,1,ZRH,ZRH
Rosenberg's Bagels & Delicatessen,,1,DEN,DEN
Rosso Vivo Artizan Pizza,pizza,1,DXB,DXB
Rossopomodoro,,1,FCO,FCO
Rotiboy,,1,SIN,SIN
Round D Clock,,1,DEL,DEL
Royal Host,japanese,1,SIN,SIN
Royal-House,,1,TPE,TPE
Ruam Samai,thai,1,BKK,BKK
Rush Street Bar,,1,ORD,ORD
Rustica,,1,MEL,MEL
Ryan's,,1,DUB,DUB
Ryu-ka Seian Toushomen,chinese,1,KIX,KIX
S&P,thai,1,BKK,BKK
S.V.H. SNACKS,,1,CMB,CMB
Saap Saap Thai,thai,1,SIN,SIN
Sablier Rooftop Restaurant & Bar,,1,ZRH,ZRH
SAINT MARC CAFÉ,,1,KIX,KIX
Sakamoto,japanese,1,LIM,LIM
Sal Y Limon,,1,YVR,YVR
Sal's Pizza,,1,BOS,BOS
Salad Bar,,1,BOM,BOM
Salad Works,,1,ORD,ORD
Salch&Pão,,1,GIG,GIG
Salmon n' Bannock On The Fly,,1,YVR,YVR
Salsas Fresh Mex,,1,MEL,MEL
Salt & Grinder,,1,DEN,DEN
Salt & Smoke,,1,DEN,DEN
Salty's at the SEA,,1,SEA,SEA
Salute MX,,1,MEX,MEX
SAMCHUNGDANG,,1,ICN,ICN
SAMJINAMOOK,korean,1,ICN,ICN
Sammy's Beach Bar & Grill,,1,LAS,LAS
Sammy's Woodfired Pizza,,1,LAS,LAS
Sammy's Woodfired Pizza & Grill,pizza,1,LAX,LAX
Sampanman,seafood,1,SIN,SIN
San Carlo,,1,MAN,MAN
San Marco,,1,DUB,DUB
San Marco Curry,curry,1,KIX,KIX
Sangeetha Vegetarian Restaurant,indian,1,DXB,DXB
Sanook Kitchen,thai,1,SIN,SIN
Sans Rival,,1,MNL,MNL
Santa Gloria,,1,MAD,MAD
Santa Monica Brew Works,,1,LAX,LAX
Santo,,1,DEN,DEN
Santouka,ramen,1,LAX,LAX
Sapori d'Italia,,1,ZRH,ZRH
Satellite restaurant TEPPAN YAKI,,1,NRT,NRT
Savor Japanese Izakaya,,1,NRT,NRT
Sayad Bahar,,1,DXB,DXB
Sbarro - Food Court,,1,MCO,MCO
Schlotzky's Deli,,1,IAH,IAH
Schnitz,,1,MEL,MEL
Scoop'd,ice_cream,1,LOS,LOS
Seafood meets Asia,,1,MUC,MUC
Seattle Beer Union,,1,SEA,SEA
Seattle Dawg House,,1,SEA,SEA
Second Master & Young Young Bak Kut Teh,,1,TPE,TPE
Seferi,,1,IST,IST
Segafredo,,1,MUC,MUC
SEIYOKEN,,1,NRT,NRT
Selmans Restaurant & Bar,,1,MUC,MUC
Semillero,,1,MEX,MEX
Sense of Malaysia - Kueh Kita,,1,KUL,KUL
SENSIB Café,coffee_shop,1,BKK,BKK
Seoul-Street,,1,ICN,ICN
Serai,,1,KUL,KUL
Serenitea,,1,MNL,MNL
Sergio's GO,,1,MIA,MIA
Sewar,lebanese,1,DXB,DXB
SF Fruits & Juices,juice,1,SIN,SIN
SG Hawker,,1,SIN,SIN
Shake Shack - Terminal C Palm Court,,1,MCO,MCO
Shan Shui,chinese,1,LHR,LHR
Shater,,1,DXB,DXB
Shawa,"Lebanese, Middle Eastern",1,AUH,AUH
Shawarma Shack,,1,BOM,BOM
Shawarma Station,"Middle Eastern, Street Food",1,DOH,DOH
Shelby and Co,,1,BHX,BHX
Shin Ramyun,ramen,1,JFK,JFK
Shiv Sagar,,1,BOM,BOM
Shu Sheep a Bowl of Lamb,,1,TPE,TPE
Sibarium,,1,MAD,MAD
Sichuan Impression,,1,TPE,TPE
Simit Sarayi,"Turkish, Bakery, Café",1,DOH,DOH
Simit Sarayı,,1,IST,IST
Singapore Food Street,singaporean,1,SIN,SIN
Singgah,,1,KUL,KUL
Sinpo Sundae,korean,1,ICN,ICN
Siomai King,,1,MNL,MNL
Sissi & Franz,,1,MUC,MUC
Sissi & Franz Bar,,1,MUC,MUC
Sky Elephant Thai Restaurant,,1,TPE,TPE
Skybridge Bar & Grill,,1,ORD,ORD
Skyscrapers Bar,,1,ORD,ORD
Slater's 50/50,,1,DEN,DEN
Slicy,"Pizza, Italian",1,DOH,DOH
Slim Chicken's,chicken,1,IST,IST
Slim's Quality Burger,burger,1,SYD,SYD
Small Holdings,,1,MEL,MEL
Smiling BKK (Thai),,1,DXB,DXB
Smoke's Burritorie,,1,YYZ,YYZ
Smoke's Poutinerie,,1,YYZ,YYZ
Smokey Joe's,,1,MUC,MUC
Snack Shack,,1,LAS,LAS
Snarf's Sandwiches,,1,DEN,DEN
Snek & Co,,1,KUL,KUL
Snowflakes Ice Cream,"Ice Cream, Desserts",1,DOH,DOH
So Chocolate,,1,JFK,JFK
So Fresh,salad,1,LOS,LOS
SO! Coffee,"Coffee, Café",1,AUH,AUH
Soho,,1,LIS,LIS
Soho Bites,,1,JFK,JFK
SOI YEONNAM,thai,1,ICN,ICN
SOJIBO,japanese,1,KIX,KIX
Sokcho Kodari Naengmyeon,korean,1,ICN,ICN
Sol Bowl,,1,SYD,SYD
Soleil Brasserie,,1,LGA,LGA
Song Fa Bak Kut Teh,singaporean,1,SIN,SIN
Sonny Bryan's Smokehouse,,1,DFW,DFW
Sonoma,,1,LGW,LGW
Sonsuheon,korean,1,ICN,ICN
SOUL BOWL,,1,ICN,ICN
Soup Restaurant,singaporean,1,SIN,SIN
Sourced Market,,1,SEA,SEA
South Downs Bar,,1,LGW,LGW
Soy & Sake,,1,JFK,JFK
Specially,,1,LIS,LIS
Spirit & Bell,,1,LGA,LGA
Spoleto,italian,1,GIG,GIG
Sportalm,,1,MUC,MUC
Sporting Chance,,1,MAN,MAN
Sports Edition Bar,,1,ORD,ORD
Sportsbar & Terrace,,1,ZRH,ZRH
Sprüngli Café-Bar,,1,ZRH,ZRH
Spur,,1,JNB,JNB
Squeeze Juice,,1,BOM,BOM
SSOJA TOAST,,1,ICN,ICN
ST. ALi,,1,MEL,MEL
St. Mia - Ristorante Italiano,italian,1,DXB,DXB
Stanley's Blackhawks Kitchen & Tap,,1,ORD,ORD
STAR HOSEKI,,1,TPE,TPE
Star Light,,1,LHR,LHR
Starbucks (Baggage Claim),,1,SEA,SEA
Starbucks - Gate 332,,1,DUB,DUB
Starbucks - Gates 1-29,,1,MCO,MCO
Starbucks - Gates 100-129,,1,MCO,MCO
Starbucks - Gates 70-99,,1,MCO,MCO
Starbucks - Terminal A Level 2 Baggage Claim,,1,MCO,MCO
Starbucks - Terminal A Level 3,,1,MCO,MCO
Starbucks - Terminal C Level 6,,1,MCO,MCO
Starbucks - Terminal C Palm Court,,1,MCO,MCO
STARBUCKS COFFEE 1F South Shop,coffee_shop,1,KIX,KIX
STARBUCKS COFFEE 2F Shop,coffee_shop,1,KIX,KIX
STARBUCKS COFFEE Terminal1 4F,,1,NRT,NRT
Starbucks Evenings,,1,SEA,SEA
Starbucks Reserve,"Coffee, Café, Premium",1,DOH,DOH
Startbar,,1,ZRH,ZRH
Steers,,1,JNB,JNB
Steiner Flughafebeck,,1,ZRH,ZRH
Sternen Grill,,1,ZRH,ZRH
Steve's Snappin' Dogs,,1,DEN,DEN
Stitch Coffee,,1,SYD,SYD
Stomping Ground Brewery,,1,MEL,MEL
Stone & Wood Dine,,1,SYD,SYD
Street Foods by Punjab Grill,,1,BOM,BOM
Street Kitchen,,1,DUB,DUB
Subralott,,1,MUC,MUC
Subway (Open 24 Hours),,1,MIA,MIA
Sugar & Spice,,1,TPE,TPE
SugarBelly,,1,SIN,SIN
Sugarland Beer Garden,,1,IAH,IAH
Sukhothai,thai,1,DXB,DXB
Summer House Orlando - Terminal C Palm Court,,1,MCO,MCO
Summer House Santa Monica,,1,ORD,ORD
SumoSalad Green on Green,,1,SYD,SYD
Sunday Supper Trattoria,,1,LGA,LGA
Sunset Loop Bar & Grill,,1,DEN,DEN
Sunset Loop Market,,1,DEN,DEN
Sunshine Diner by Chef Art Smith - Gates C230-C245,,1,MCO,MCO
Superfood,,1,FRA,FRA
Superfruit Republic,,1,DEN,DEN
Supermac's,,1,DUB,DUB
SuperSubs,,1,DUB,DUB
Supply Five Co.,,1,JFK,JFK
Surf and Turf,,1,MUC,MUC
Sushi Jiro,,1,MEL,MEL
Sushi Kyotatsu Terminal1 North Wing,,1,NRT,NRT
Sushi Kyotatsu Terminal2,,1,NRT,NRT
Sushi Nama,japanese,1,BKK,BKK
SUSHI OTAKU,japanese,1,KIX,KIX
Sushi Shop,,1,CDG,CDG
Sushi Tei,japanese,1,SIN,SIN
Sushi Uogashi Nihon-ichi,,1,NRT,NRT
Sushi-go-round GANSOZUSHI,,1,NRT,NRT
Sushi-Itto,,1,MEX,MEX
Sushiichiban Satellite,,1,NRT,NRT
Sussex House Kitchen & Bar,,1,LGW,LGW
Sweet Ideas,,1,MNL,MNL
Sweet Maple Lounge,,1,YVR,YVR
Sweet Stop,"Sweets, Desserts, Café",1,DOH,DOH
Sweets on the Go,,1,JNB,JNB
Swensen's,,1,SIN,SIN
Sydney Coffee Trader,,1,SYD,SYD
T's TANTAN,,1,NRT,NRT
T2 Tea,,1,TPE,TPE
Tacañon,,1,MEX,MEX
Taco Bell Cantina,,1,DEN,DEN
Taco Inn,,1,MEX,MEX
Tacos Locos,,1,LAS,LAS
Tacos Locos - Gates 70-79,,1,MCO,MCO
Tacos Tequila Whiskey,,1,DEN,DEN
Tagliare,,1,IAH,IAH
Taim Mediterranean Kitchen,,1,LGA,LGA
Taiwan Culture,taiwanese,1,SIN,SIN
Take Away,,1,MAD,MAD
TAKOMASA,japanese,1,KIX,KIX
Talde Noodle Bar,,1,LGA,LGA
TANG DYNASTY TO-SHO-MEN,,1,NRT,NRT
Tanta,peruvian,1,LIM,LIM
Tanta To Go,peruvian,1,LIM,LIM
TANTAN NOODLES KITCHEN,asian,1,ICN,ICN
Tante Ju's Speisenwerkstatt,,1,MUC,MUC
Tao Tao Ju,chinese,1,CAN,CAN
Taoyuan Village,chinese,1,PKX,PKX
Tap & Brew,,1,DUB,DUB
Tap & Pour,,1,YYZ,YYZ
Tapa King,,1,MNL,MNL
Tapas Sky Bar,,1,DEN,DEN
Tasca Don Quino,,1,MEX,MEX
Taste of India,Indian,1,AUH,AUH
Taste of NY,,1,JFK,JFK
TASTY CUBE,,1,ICN,ICN
TawBan,,1,ICN,ICN
TAXIING 5,,1,ICN,ICN
tealive,,1,SIN,SIN
Teatulia Tea & Coffee Bar,,1,DEN,DEN
Ted & Rose,,1,WLG,WLG
Temakinho,,1,FCO,FCO
Temazcal Cantina,,1,BOS,BOS
Tempura Nihonbashi Tamai,,1,NRT,NRT
Tender Crush,,1,JFK,JFK
Tentazioni Cafè,,1,FCO,FCO
TEPPAN YAKI MITSUMOTO TEI / MITSUMOTO COFFEE TEN,,1,NRT,NRT
Teppanyaki Dotonbori Kurita,,1,NRT,NRT
Tequileria Grille,,1,LAS,LAS
Tere Cazola,,1,MEX,MEX
Teriyaki Chicken ITOME,,1,NRT,NRT
Terrace Chinese Kitchen,chinese,1,SIN,SIN
Terraza MX,,1,MEX,MEX
Thai Express,,1,YYZ,YYZ
Thai Restaurant Jai Thai,,1,NRT,NRT
Thai Street Food,thai,1,BKK,BKK
The 1872 Clipper Tea Co.,,1,SIN,SIN
THE ALCHEMIST CAFE,,1,HKG,HKG
The B Lounge,,1,LAS,LAS
The Bagel Deli,,1,DEN,DEN
The Bar,,1,FRA,FRA
The Beehive,,1,LGW,LGW
The Beer House,,1,ATH,ATH
The Bindery,,1,DEN,DEN
The Bistro by Wolfgang Puck,,1,SYD,SYD
The Blinded Tiger,,1,JFK,JFK
The Bowery Bay Shops,,1,LGA,LGA
The Brasserie,,1,KIX,KIX
The Breakfast Club,american,1,LGW,LGW
The Breakfast Klub,,1,IAH,IAH
The Brick Wall Sports Bar,,1,DXB,DXB
The Bridgewater Exchange,,1,MAN,MAN
The Bronze Pizza,,1,ORD,ORD
The Bronze Tap,,1,ORD,ORD
The Brooklyn Counter,burger,1,JFK,JFK
The Burger Federation,,1,YYZ,YYZ
The Cellar Bar & Bistro,,1,MEL,MEL
The Chocolate Box,,1,MEL,MEL
The Chocolate Shack by Dominique Persoone,,1,BRU,BRU
The Coach Restaurant,,1,SIN,SIN
The Coffee Beans,,1,KUL,KUL
The Coffee Club,coffee_shop,1,BKK,BKK
The Connie,,1,JFK,JFK
The Counter,burger,1,LAX,LAX
The Craft Beer Garden,,1,IAH,IAH
The Cram Bar,,1,BOM,BOM
The Crown Rivers Wetherspoon,,1,LHR,LHR
The Curator,,1,LHR,LHR
The Daily,"Café, International",1,AUH,AUH
The Daily - Urban Street Food,,1,DXB,DXB
The Dearborn,,1,ORD,ORD
The Dirty Bird Chicken & Waffles Express,,1,YYZ,YYZ
The Dubliner's,,1,DXB,DXB
The Emirates Lounge,,1,BHX,BHX
The Evergreen Bar and Brasserie,,1,MAN,MAN
The Evergreen Bar and Restaurant,,1,LHR,LHR
The Factory Bar and Kitchen,,1,BHX,BHX
The Fallow Kitchen & Bar,,1,DUB,DUB
The Flave of Munich,,1,MUC,MUC
The Flying Horse,,1,LGW,LGW
The Forest Bakery,,1,HKG,HKG
The Gallery Restaurant,,1,ZRH,ZRH
The Gang Foods,,1,IST,IST
The Garden Terrace,,1,DUB,DUB
The Gate Clock,,1,DUB,DUB
The Gin Garden,,1,DXB,DXB
The Globe,,1,LHR,LHR
The Goddess and Grocer,,1,ORD,ORD
The Golden Krust,,1,JFK,JFK
The Great American Bagel,,1,IAH,IAH
The Great American Bagel Bakery,,1,LAS,LAS
The Grille,,1,LGA,LGA
The Habit Burger,burger,1,LAX,LAX
The Hainan Story,singaporean,1,SIN,SIN
The Hainan Story Bakery,,1,SIN,SIN
The Hampton Social,,1,ORD,ORD
The Hearth by Lynn Crawford,,1,YYZ,YYZ
The House Cafe,,1,IST,IST
The Irish House,,1,DEL,DEL
The Irish Village,,1,DXB,DXB
The Italian Kitchen by Wolfgang Puck,,1,DFW,DFW
The Line Sports Grill,,1,LGA,LGA
The Loaf,,1,KUL,KUL
The Local,,1,JFK,JFK
The Local Taphouse,,1,MEL,MEL
The Magic Pan,,1,DEN,DEN
The Majilis,"Middle Eastern, International",1,AUH,AUH
The Market by Villa,,1,IAH,IAH
The Meat District,"American, Burgers",1,AUH,AUH
The Mezz,,1,DUB,DUB
The Noodle Cart,"Asian, Noodles",1,DOH,DOH
The Nook,,1,MAN,MAN
The Oceanic,,1,LHR,LHR
the ODEON by Käfer,,1,MUC,MUC
The Palm Bar & Grill,,1,JFK,JFK
The Pelican,,1,MEL,MEL
The Pizza Company,pizza,1,BKK,BKK
The Playa Cafe,,1,LAX,LAX
The Queen's Arms,,1,LHR,LHR
The Rail,,1,IAH,IAH
The Red Lion,,1,LGW,LGW
The Reserve,,1,DUB,DUB
The Rodeo Bar,,1,DFW,DFW
The Sunken Lounge,,1,JFK,JFK
The Sushi Platter,japanese,1,SYD,SYD
The Sweet Shop,,1,JNB,JNB
THE TACO BOOTH,mexican,1,ICN,ICN
The Urban Deli & Café,,1,MEX,MEX
The Villa Halal,halal,1,BKK,BKK
The Vinery,,1,LHR,LHR
TheJellyHearts,,1,SIN,SIN
Think Asia,,1,MEL,MEL
THINK CURRY HOUSE,,1,TPE,TPE
Third Wave Coffee,,1,BOM,BOM
Thong Thai,,1,FRA,FRA
Three Quarter Society,,1,WLG,WLG
Three Quarter Society Junior,,1,WLG,WLG
Tianlu,chinese,1,ICN,ICN
Tickerdaze,,1,IST,IST
TICO,,1,BOS,BOS
Tiger Bar & Restaurant,,1,SIN,SIN
Tiger Den,,1,SIN,SIN
TIKG (The Indian Kebab Grill) Bar,,1,BOM,BOM
Tim Ho Wan,chinese,1,SIN,SIN
Tim Hortons SG,coffee_shop,1,SIN,SIN
Timber's,,1,DEN,DEN
Timeless Korean Dining (Hansik Sodam-gil),korean,1,ICN,ICN
Tip Top,local,1,SIN,SIN
TJ Katsu Dumplings and Noodles,japanese,1,WLG,WLG
TJ Katsu Sushi,japanese,1,WLG,WLG
TKK Fried Chicken x KUNG FU TEA,,1,TPE,TPE
To Go,,1,ATH,ATH
Toast Box & Thye Moh Chan,,1,SIN,SIN
Toasties,,1,LOS,LOS
Tocabe,,1,DEN,DEN
Todd English Market & Pub,"International, Bar",1,AUH,AUH
Tofu Hot Pot,,1,TPE,TPE
Toh-Lee,chinese,1,KIX,KIX
Tokyo Food Bar,,1,NRT,NRT
Tokyo Milk Cheese Factory,,1,SIN,SIN
TOKYO-TONKOTSU-BASE MADE by IPPUDO,,1,NRT,NRT
Tong Kee Bao Dim,dim_sum,1,HKG,HKG
TONKATSU,,1,TPE,TPE
Tonkatsu by Ma Maison,japanese,1,SIN,SIN
TONKATSU INABA WAKO,,1,NRT,NRT
Tonkatsu shinjuku saboten,,1,NRT,NRT
TONKATSU WAKO KEITEI,japanese,1,KIX,KIX
Tony and Benny's Pizza Parlor,,1,LGA,LGA
Tony Roma's,,1,MAD,MAD
Top Cafeteria,,1,DXB,DXB
Top Ten Thai Restaurant,thai,1,BKK,BKK
Tori,,1,LIM,LIM
Torrons Vicens,,1,MAD,MAD
Tortas Don Polo,,1,MEX,MEX
Torteria San Cosme,,1,YYZ,YYZ
Tortilla,tex-mex,1,LGW,LGW
TORUNG BANGKOK,thai,1,ICN,ICN
TP TEA,,1,SIN,SIN
Tranzeet,burger,1,DXB,DXB
Travel Market,,1,GIG,GIG
Treasures Yi Dian Xin,chinese,1,SIN,SIN
Treats - Tinapay Ni Nanay,,1,MNL,MNL
Treehouse Juicery,,1,DXB,DXB
Tres Tacos,mexican,1,SYD,SYD
Trib's,,1,FRA,FRA
Trinity Burgers,,1,LGA,LGA
Trinity Groves Food Lockers,,1,DFW,DFW
Trinity Groves Kitchen & Bar,,1,DFW,DFW
Triple O's,,1,YVR,YVR
Tropical Hut,,1,MNL,MNL
TRT World Cafe,,1,IST,IST
True Burger,burger,1,JFK,JFK
True Food Kitchen,,1,DEN,DEN
Tsui Wah,hong_kong,1,SIN,SIN
tsukiji - Sushiiwa,,1,NRT,NRT
Tsukiji Magoemon,japanese,1,KIX,KIX
Tsukiji Sushisei,,1,NRT,NRT
TSUKIZEN,japanese,1,ICN,ICN
Tsuta Japanese Soba Noodles,ramen,1,SIN,SIN
TUK,,1,ZRH,ZRH
TULLY'S COFFEE Terminal1,,1,NRT,NRT
Tun Xiang,chinese,1,SIN,SIN
Tuscany Cafe,,1,ORD,ORD
Tutti Frutti,,1,MAD,MAD
Tutto by Da Paolo,italian,1,SIN,SIN
TWA Corner Store,,1,JFK,JFK
Twist by Roger Mooking,,1,YYZ,YYZ
Twisted Root,,1,DFW,DFW
Two Johns Taphouse,,1,MEL,MEL
TX/MX,,1,DFW,DFW
Ucc Mentore,,1,MNL,MNL
Ufufu Cafe,japanese,1,HKG,HKG
Umaizushi,,1,ZRH,ZRH
Umami Burger,burger,1,LAX,LAX
Uncle,,1,DEN,DEN
United Brew Works,,1,WLG,WLG
Uno Due Go,,1,DFW,DFW
UOICHI,,1,NRT,NRT
upperdeck,,1,ZRH,ZRH
Uptown Bar,,1,JFK,JFK
Uptown Essentials,,1,LGA,LGA
Uptown Market,,1,JFK,JFK
urban Biergarten,,1,MUC,MUC
Urban Coffee Roaster,coffee_shop,1,HKG,HKG
Urban Corner,,1,MEX,MEX
Urban Crave - Gates 1-29,,1,MCO,MCO
Urban Market,,1,YYZ,YYZ
Urban Olive,,1,ORD,ORD
Urban Provodore,,1,MEL,MEL
Usta,"Turkish, Kebab",1,DOH,DOH
Van Wyck Bar & Grill,,1,JFK,JFK
Vegas Baby Bar,,1,LAS,LAS
VEGE CREEK,,1,TPE,TPE
Venchi,"Italian, Chocolates, Gelato",1,DOH,DOH
Vending Machine - M&Ms,,1,LAS,LAS
Veneti,,1,ATH,ATH
Veneti-GO!,,1,ATH,ATH
Veneziano Coffee Roasters,,1,MEL,MEL
Ventana Fresh,,1,GIG,GIG
Veteran Roasters/Brown Sugar Bakery,,1,ORD,ORD
Via Bakery,,1,IST,IST
Via Fıçı,,1,IST,IST
Via Kiosk,,1,IST,IST
Viaggio Espresso + Bar,,1,SYD,SYD
Viandas,,1,MAD,MAD
Vida e Cafe,,1,JNB,JNB
Viktualien Stubn,,1,MUC,MUC
Villa Antinori da Bindella,,1,ZRH,ZRH
Villa Fresh Italian Kitchen,,1,LAS,LAS
Villa Italian Kitchen - Gates 100-129,,1,MCO,MCO
Villa Russo,italian,1,JFK,JFK
Village Pub,,1,SEA,SEA
Vineyard Grille,,1,BOS,BOS
VINNY'S Panini,sandwich,1,JFK,JFK
Vino Volo - Gates 70-79,,1,MCO,MCO
Vino Volo Wine Bar,,1,YYZ,YYZ
VIT,"Juices, Café",1,AUH,AUH
Vivanda Burger,burger,1,IST,IST
Voodoo Doughnut,,1,DEN,DEN
VWI COFFEE BAR,,1,TPE,TPE
Vyne Washington Tasting Room,,1,SEA,SEA
W.H. Smith,,1,LGA,LGA
Wa-En Wagyu,japanese,1,SIN,SIN
Wafflemeister,,1,LHR,LHR
Wahoo's Fish Taco,"seafood, mexican",1,LAX,LAX
Wanderlust,,1,SEA,SEA
Wang Noodle House,chinese,1,SIN,SIN
WANG'S BROTH,,1,TPE,TPE
Warehouse,,1,DXB,DXB
Watami,,1,MNL,MNL
Wawee Coffee,coffee_shop,1,BKK,BKK
Way Yu Lau,chinese,1,CAN,CAN
Wee Nam Kee Hainanese Chicken Rice,singaporean,1,SIN,SIN
Welcome Bar,,1,BRU,BRU
Western Mahua,chinese,1,PKX,PKX
WH Smith Australia,,1,MEL,MEL
Whiskey Bread,,1,DUB,DUB
Whiskey Lima Golf,,1,WLG,WLG
Whistler Taphouse & Grill,,1,YVR,YVR
White Restaurant,,1,SIN,SIN
White Spot,,1,YVR,YVR
Wicker Park Market,,1,ORD,ORD
Wicker Park Sushi Bar,,1,ORD,ORD
Wiener Feinbäckerei,,1,FRA,FRA
Wiener's,,1,MUC,MUC
Wild Olive,,1,LHR,LHR
Williams,,1,NRT,NRT
Williams & Graham,,1,DEN,DEN
Wimpey,,1,JNB,JNB
Wine Bar George - Terminal C Palm Court,,1,MCO,MCO
Wine Selectors,,1,MEL,MEL
Wing Café,,1,TPE,TPE
Wingstop,,1,DFW,DFW
WithGreen,,1,NRT,NRT
Wok & Roll,,1,JFK,JFK
Wok to Gate,asian,1,LIM,LIM
Wok to Walk,"Asian, Stir Fry, Street Food",1,DOH,DOH
Woke Ramen,ramen,1,SIN,SIN
Wondertree,,1,LGW,LGW
Woody Creek Bakery & Cafe,,1,DEN,DEN
Work & Fly,"Café, Co-working",1,DOH,DOH
World Cup,,1,DXB,DXB
Wow Momo,,1,BOM,BOM
Wrapchic,,1,MAN,MAN
Wu Fang Zhai,chinese,1,SIN,SIN
Wurst Sausages,,1,JFK,JFK
Xi Bei,chinese,1,PKX,PKX
Xi Zai Bian Grilled Meat Rice,,1,TPE,TPE
XIABUXIABU,chinese,1,PKX,PKX
Xiao Noodles,noodles,1,CAN,CAN
Xing Fu Tang,,1,TPE,TPE
XINGKAI,chinese,1,ICN,ICN
Xishaoye,chinese,1,PKX,PKX
Xocolia,,1,MEX,MEX
XW Western Grill,,1,SIN,SIN
Ya Kun Family Cafe,,1,SIN,SIN
Yabase,,1,NRT,NRT
YAKISUKI MEAT DISHES YANMA,,1,NRT,NRT
Yasamin,"International, Café, Bar",1,AUH,AUH
Yeongju Bubu Maeul,korean,1,ICN,ICN
Yi Fong Tang,,1,TPE,TPE
YOOIL DAK GANG JEONG,korean,1,ICN,ICN
Yooji's,,1,ZRH,ZRH
Yukimura,japanese,1,HKG,HKG
Yuksu Gojip,,1,ICN,ICN
Yum Cha,"Chinese, Dim Sum",1,DOH,DOH
YUMEAN,,1,NRT,NRT
Yummy Town,,1,TPE,TPE
Yun Nans,chinese,1,SIN,SIN
Yung Kee,chinese,1,HKG,HKG
Zafrana,,1,DXB,DXB
Zambar,,1,BOM,BOM
ZaZa To Go - Gates 1-29,,1,MCO,MCO
Zen Akasaka,,1,NRT,NRT
ZETTERIA,,1,KIX,KIX
Zigolini,,1,FRA,FRA
ZKG RESTAURANT,,1,NRT,NRT
Zoom Restaurant & Bar,,1,ZRH,ZRH
