name,cuisine,airport_count,airports,example_airport
Al Takia,,1,DXB,DXB
Alchemy Cocktail Lounge,,1,IAH,IAH
Aletitude,,1,DEN,DEN
Alfred Coffee,coffee_shop,1,LAX,LAX
Alfredo Bar & Biergarten,,1,MUC,MUC
Alidoro,sandwich,1,JFK,JFK
All Bar One,,1,BHX,BHX
All Good Deli,,1,BOM,BOM
Allora Ristorante & Bar,italian,1,SIN,SIN
Allpress Espresso,,1,SYD,SYD
Aloha,,1,MAD,MAD
Alpenblick Bar,,1,ZRH,ZRH
Alpine Bar,,1,ZRH,ZRH
Alta Strada,,1,BOS,BOS
Always Fresh Always On,,1,ORD,ORD
Amba restaurant,indian,1,DXB,DXB
Amber Alehouse,,1,MAN,MAN
Amcha Katta,,1,BOM,BOM
America's Dog,,1,ORD,ORD
AMERICAN TRAILER,,1,ICN,ICN
Amo,,1,BRU,BRU
Amorino,,1,FCO,FCO
Amps Tea,,1,SIN,SIN
Amreli,,1,BOM,BOM
Amsterdam Bread Co.,,1,AMS,AMS
Amul Ice Cream Lounge,,1,BOM,BOM
An Acai Affair,,1,SIN,SIN
Ancho,,1,ATH,ATH
And More Restaurant,mediterranean,1,PKX,PKX
Andiamo,,1,ORD,ORD
Angels Pizza,,1,MNL,MNL
Anika,,1,MNL,MNL
Anjappar,indian,1,SIN,SIN
Apartment 7B Deli & Market,,1,JFK,JFK
Apiary,,1,MAN,MAN
Apollinaris Bar,,1,MUC,MUC
Applebee's,,1,DFW,DFW
Apropos,,1,YYZ,YYZ
Arajeel,,1,DXB,DXB
Arby's,sandwich,1,IST,IST
Archeo Pizzeria,,1,YYZ,YYZ
Archie's,,1,MAN,MAN
Aristocrat,,1,MNL,MNL
Army Navy,,1,MNL,MNL
Aroi Restaurant,thai,1,BKK,BKK
Arrivals Eatery,,1,JFK,JFK
Arteastiq,,1,SIN,SIN
Arthur Guinness Bar,,1,DUB,DUB
Artichoke Pizza,,1,LGA,LGA
Artichoke Pizzeria,pizza,1,JFK,JFK
Artisan Market,,1,DFW,DFW
Artisan-Taf,,1,ATH,ATH
Arzábal,,1,MAD,MAD
Ashrafi,,1,DXB,DXB
Asia 7,,1,BOM,BOM
Asia Street Cooking,,1,FRA,FRA
Asian Chao - Gates 100-129,,1,MCO,MCO
Asian Corner,asian,1,BKK,BKK
Aspire Lounge,,1,BHX,BHX
Aspire Lounge South,,1,BHX,BHX
Atrium Dine,,1,SYD,SYD
Aunt Butchie's Bakery Cafe,,1,JFK,JFK
Auntie Anne's - Food Court,,1,MCO,MCO
Auntie Anne's - Gates 100-129,,1,MCO,MCO
Auntie Anne's Pretzels,,1,DEN,DEN
Auntie Anne's/Cinnabon - Terminal C Palm Court,,1,MCO,MCO
Aura Bar,,1,LHR,LHR
Avenue Bistro Bar,,1,IST,IST
Avian Grab & Fly,,1,KUL,KUL
Aviator's Sports Bar & Bar-B-Que,,1,DEN,DEN
Aviolino,,1,ZRH,ZRH
Axil Coffee Roasters,,1,MEL,MEL
Ayyam Al Khair,,1,DXB,DXB
Azusa Coffee,coffee_shop,1,KIX,KIX
"B-Smooth, Smoothies & Salads",,1,ORD,ORD
Babel Restaurant,,1,ZRH,ZRH
Backhaus,,1,IST,IST
Backstube Wünsche,,1,MUC,MUC
Bad Egg Breakfast Bar,,1,SEA,SEA
